customerID,tenure,MonthlyCharges,TotalCharges,gender_Male,SeniorCitizen_Yes,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_Biannual,Contract_Monthly,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Yes
7590-VHVEG,1,29.85,29.85,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
5575-GNVDE,34,56.95,1889.5,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
3668-QPYBK,2,53.85,108.15,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
7795-CFOCW,45,42.3,1840.75,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
9237-HQITU,2,70.7,151.65,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1
9305-CDSKC,8,99.65,820.5,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1
1452-KIOVK,22,89.1,1949.4,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
6713-OKOMC,10,29.75,301.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
7892-POOKP,28,104.8,3046.05,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1
6388-TABGU,62,56.15,3487.95,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9763-GRSKD,13,49.95,587.45,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
7469-LKBCI,16,18.95,326.8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
8091-TTVAX,58,100.35,5681.1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0
0280-XJGEX,49,103.7,5036.3,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1
5129-JLPIS,25,105.5,2686.05,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0
3655-SNQYZ,69,113.25,7895.15,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0
8191-XWSZG,52,20.65,1022.95,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
9959-WOFKT,71,106.7,7382.25,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0
4190-MFLUW,10,55.2,528.35,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
4183-MYFRB,21,90.05,1862.9,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0
8779-QRDMV,1,39.65,39.65,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1
1680-VDCWW,12,19.8,202.25,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1066-JKSGK,1,20.15,20.15,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
3638-WEABW,58,59.9,3505.1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
6322-HRPFA,49,59.6,2970.3,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0
6865-JZNKO,30,55.3,1530.6,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
6467-CHFZW,47,99.35,4749.15,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1
8665-UTDHZ,1,30.2,30.2,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
5248-YGIJN,72,90.25,6369.45,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0
8773-HHUOZ,17,64.7,1093.1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1
