iter	F1	Logloss	Precision	Recall
0	0.772052107	0.6788917866	0.7579422685	0.7866972477
1	0.7702191194	0.6652813728	0.7660197041	0.7744648318
2	0.7751340642	0.6537964128	0.7575280013	0.7935779817
3	0.776017269	0.6417264848	0.7564388513	0.7966360856
4	0.7753815201	0.6334070261	0.7573046283	0.7943425076
5	0.7794991372	0.6239444666	0.7502151986	0.8111620795
6	0.7788790847	0.6137808133	0.7510339287	0.8088685015
7	0.7787768722	0.6045597113	0.7528310661	0.8065749235
8	0.7787768722	0.5986148384	0.7528310661	0.8065749235
9	0.777215054	0.5901662578	0.7519111639	0.8042813456
10	0.7770395273	0.582074488	0.7529228365	0.8027522936
11	0.7783259663	0.5747705388	0.7526545644	0.8058103976
12	0.7762745126	0.5683814062	0.7521588671	0.8019877676
13	0.7788469258	0.5625848853	0.7536294954	0.8058103976
14	0.7777003257	0.5572564306	0.7534911261	0.8035168196
15	0.7776650724	0.5519807079	0.75409836	0.8027522936
16	0.7782913514	0.5475953746	0.7532579278	0.8050458716
17	0.7771794168	0.5429296333	0.7525137745	0.8035168196
18	0.777839691	0.5384650344	0.7530812958	0.8042813456
19	0.7776650724	0.5339636293	0.75409836	0.8027522936
20	0.7777694278	0.530253935	0.7542946376	0.8027522936
21	0.7808254373	0.5269387951	0.755328403	0.8081039755
22	0.7786041125	0.5250600712	0.7538440781	0.8050458716
23	0.7796109171	0.5221120785	0.7543914186	0.8065749235
24	0.7795400684	0.5193839808	0.753591411	0.8073394495
25	0.7826852481	0.516331948	0.7548162016	0.8126911315
26	0.7796776863	0.5144475011	0.753183315	0.8081039755
27	0.7816111567	0.5124781399	0.7534780412	0.8119266055
28	0.7774231548	0.5095481721	0.7523008036	0.8042813456
29	0.7780481266	0.5067170796	0.7534721495	0.8042813456
30	0.7779788415	0.5047205116	0.7526726882	0.8050458716
31	0.777839691	0.5028273694	0.7530812958	0.8042813456
32	0.7786041125	0.5007678327	0.7538440781	0.8050458716
33	0.7792303894	0.4984128535	0.7550191198	0.8050458716
34	0.7789874705	0.496062859	0.7552360236	0.8042813456
35	0.7805839593	0.4942276487	0.7555449552	0.8073394495
36	0.780793073	0.4928710728	0.7559368801	0.8073394495
37	0.7806885021	0.4918821145	0.7557408669	0.8073394495
38	0.7791598364	0.4908774427	0.7542156673	0.8058103976
39	0.7796819131	0.4894509419	0.7551946495	0.8058103976
40	0.77912594	0.4885358467	0.7548230252	0.8050458716
41	0.7792641958	0.4880858026	0.7544112607	0.8058103976
42	0.7808254373	0.4867380916	0.755328403	0.8081039755
43	0.7846555114	0.4853740508	0.7565026889	0.8149847095
44	0.7847601567	0.4841823974	0.7566972546	0.8149847095
45	0.7839988901	0.4826149983	0.7559407462	0.8142201835
