iter	Passed	Remaining
0	38	114762
1	70	105090
2	100	100166
3	130	97941
4	164	98762
5	201	100755
6	235	100764
7	265	99478
8	297	98792
9	325	97452
10	353	96023
11	382	95336
12	418	96049
13	440	93850
14	452	89958
15	463	86365
16	473	83022
17	485	80499
18	499	78375
19	511	76212
20	521	74038
21	534	72316
22	546	70696
23	557	69164
24	569	67777
25	581	66538
26	594	65420
27	616	65393
28	628	64398
29	642	63581
30	654	62641
31	666	61817
32	676	60832
33	689	60156
34	701	59393
35	712	58643
36	725	58101
37	737	57454
38	750	56951
39	760	56288
40	772	55771
41	784	55223
42	796	54776
43	807	54248
44	818	53770
45	830	53327
46	845	53146
47	857	52722
48	870	52419
49	882	52046
50	893	51688
51	906	51387
52	917	50998
53	927	50627
54	938	50251
55	950	49944
56	965	49862
57	986	50047
58	1010	50391
59	1053	51640
60	1098	52909
61	1138	53950
62	1171	54625
63	1213	55677
64	1246	56300
65	1278	56850
66	1311	57430
67	1343	57925
68	1378	58546
69	1393	58319
70	1405	57963
71	1417	57658
72	1429	57329
73	1441	57002
74	1455	56772
75	1468	56481
76	1478	56133
77	1492	55895
78	1512	55930
79	1543	56329
80	1579	56917
81	1599	56914
82	1610	56608
83	1621	56301
84	1633	56018
85	1645	55769
86	1654	55385
87	1666	55151
88	1678	54888
89	1689	54624
90	1701	54396
91	1714	54195
92	1726	53977
93	1738	53755
94	1749	53509
95	1759	53235
96	1769	52963
97	1781	52749
98	1792	52537
99	1803	52295
100	1815	52117
101	1828	51961
102	1841	51802
103	1852	51574
104	1866	51464
105	1894	51709
106	1915	51792
107	1937	51872
108	1958	51945
109	1981	52060
110	2009	52299
111	2034	52457
112	2049	52358
113	2061	52181
114	2073	52017
115	2085	51842
116	2097	51691
117	2109	51524
118	2121	51366
119	2131	51167
120	2143	51000
121	2157	50905
122	2169	50753
123	2181	50600
124	2191	50415
125	2205	50297
126	2216	50148
127	2229	50023
128	2239	49850
129	2252	49725
130	2263	49567
131	2275	49436
132	2287	49314
133	2303	49259
134	2324	49324
135	2355	49613
136	2370	49537
137	2386	49484
138	2421	49846
139	2457	50193
140	2495	50604
141	2512	50558
142	2523	50421
143	2536	50307
144	2544	50095
145	2556	49965
146	2568	49843
147	2580	49731
148	2592	49602
149	2599	49393
150	2610	49245
151	2624	49183
152	2635	49038
153	2644	48879
154	2654	48715
155	2665	48598
156	2677	48479
157	2689	48376
158	2702	48285
159	2717	48234
160	2728	48115
161	2740	48005
162	2752	47901
163	2761	47761
164	2774	47668
165	2787	47589
166	2799	47488
167	2810	47371
168	2824	47306
169	2843	47329
170	2859	47312
171	2874	47261
172	2894	47306
173	2906	47198
174	2923	47197
175	2938	47152
176	2962	47246
177	2997	47516
178	3028	47729
179	3044	47699
180	3057	47613
181	3070	47539
182	3093	47622
183	3107	47555
184	3120	47476
185	3134	47425
186	3153	47437
187	3169	47406
188	3185	47379
189	3198	47307
190	3211	47233
191	3223	47137
192	3233	47035
193	3248	46982
194	3264	46951
195	3278	46899
196	3292	46851
197	3306	46792
198	3320	46743
199	3334	46687
200	3350	46661
201	3368	46653
202	3383	46621
203	3399	46592
204	3434	46826
205	3468	47045
206	3492	47122
207	3506	47065
208	3519	47001
209	3533	46944
210	3543	46840
211	3555	46758
212	3566	46664
213	3577	46577
214	3589	46501
215	3601	46417
216	3611	46320
217	3622	46231
218	3634	46147
219	3645	46065
220	3656	45981
221	3668	45903
222	3679	45815
223	3690	45741
224	3700	45636
225	3713	45576
226	3725	45506
227	3736	45429
228	3748	45354
229	3760	45292
230	3769	45189
231	3779	45099
232	3790	45010
233	3802	44944
234	3814	44877
235	3825	44799
236	3836	44732
237	3848	44656
238	3858	44576
239	3869	44500
240	3879	44414
241	3891	44351
242	3903	44290
243	3915	44227
244	3926	44153
245	3936	44072
246	3946	43982
247	3958	43922
248	3968	43844
249	3980	43786
250	4002	43837
251	4026	43911
252	4037	43839
253	4049	43777
254	4060	43711
255	4072	43652
256	4084	43595
257	4094	43520
258	4103	43427
259	4112	43337
260	4123	43277
261	4135	43221
262	4145	43143
263	4157	43083
264	4168	43017
265	4179	42959
266	4193	42924
267	4210	42917
268	4220	42843
269	4232	42790
270	4244	42738
271	4252	42649
272	4264	42597
273	4275	42535
274	4283	42445
275	4295	42394
276	4308	42354
277	4321	42317
278	4334	42270
279	4345	42217
280	4356	42153
281	4368	42108
282	4380	42056
283	4389	41982
284	4400	41922
285	4413	41882
286	4444	42018
287	4479	42184
288	4494	42164
289	4509	42138
290	4521	42087
291	4529	42011
292	4541	41961
293	4553	41913
294	4565	41865
295	4576	41803
296	4588	41757
297	4600	41714
298	4613	41672
299	4624	41622
300	4636	41575
